"Crash Year","Crash Month","No Drinking Involved","Drinking Involved","Total"
"2016","January","19,587","583","20,170"
"2016","February","17,710","567","18,277"
"2016","March","15,310","548","15,858"
"2016","April","14,227","548","14,775"
"2016","May","14,702","574","15,276"
"2016","June","15,068","538","15,606"
"2016","July","13,829","578","14,407"
"2016","August","13,766","580","14,346"
"2016","September","15,323","532","15,855"
"2016","October","18,438","615","19,053"
"2016","November","20,945","596","21,541"
"2016","December","21,535","665","22,200"
"2017","January","17,788","561","18,349"
"2017","February","13,006","507","13,513"
"2017","March","15,951","642","16,593"
"2017","April","12,750","621","13,371"
"2017","May","15,846","622","16,468"
"2017","June","16,041","543","16,584"
"2017","July","14,272","663","14,935"
"2017","August","14,223","610","14,833"
"2017","September","15,375","607","15,982"
"2017","October","21,275","613","21,888"
"2017","November","21,590","580","22,170"
"2017","December","25,822","709","26,531"
"2018","January","20,781","602","21,383"
"2018","February","17,426","559","17,985"
"2018","March","15,376","547","15,923"
"2018","April","14,823","532","15,355"
"2018","May","15,486","559","16,045"
"2018","June","16,180","554","16,734"
"2018","July","14,174","569","14,743"
"2018","August","14,087","566","14,653"
"2018","September","14,974","628","15,602"
"2018","October","20,980","639","21,619"
"2018","November","24,115","621","24,736"
"2018","December","18,244","749","18,993"
"2019","January","20,458","622","21,080"
"2019","February","17,164","543","17,707"
"2019","March","15,378","550","15,928"
"2019","April","13,871","535","14,406"
"2019","May","15,646","590","16,236"
"2019","June","16,481","625","17,106"
"2019","July","15,263","592","15,855"
"2019","August","14,640","631","15,271"
"2019","September","15,328","582","15,910"
"2019","October","21,780","664","22,444"
"2019","November","25,096","603","25,699"
"2019","December","18,920","626","19,546"
"2020","January","17,675","563","18,238"
"2020","February","17,294","596","17,890"
"2020","March","9,317","457","9,774"
"2020","April","5,798","346","6,144"
"2020","May","9,593","503","10,096"
"2020","June","13,469","608","14,077"
"2020","July","13,185","598","13,783"
"2020","August","12,569","674","13,243"
"2020","September","13,452","657","14,109"
"2020","October","18,256","699","18,955"
"2020","November","18,086","533","18,619"
"2020","December","14,975","465","15,440"
"Total Crash Count","","984,719","35,189","1,019,908"