"Crash Year","Crash Month","Daylight","Dawn","Dusk","Dark - Lighted","Dark - Unlighted","Other","Unknown","Uncoded & Errors","Total"
"2016","January","4,958","274","268","1,837","635","0","35","1","8,008"
"2016","February","5,303","215","200","1,431","463","0","36","2","7,650"
"2016","March","5,700","209","136","1,201","338","0","41","1","7,626"
"2016","April","5,927","142","112","845","219","0","29","0","7,274"
"2016","May","7,306","94","133","729","209","0","58","2","8,531"
"2016","June","7,649","92","130","682","198","2","47","2","8,802"
"2016","July","7,427","88","139","803","264","1","39","0","8,761"
"2016","August","7,770","138","130","871","259","2","45","0","9,215"
"2016","September","7,366","231","199","1,060","383","4","50","0","9,293"
"2016","October","6,639","309","253","1,530","591","3","53","18","9,396"
"2016","November","5,375","258","390","2,065","738","7","52","4","8,889"
"2016","December","6,653","300","442","2,828","1,080","1","59","0","11,363"
"2017","January","4,819","310","323","2,313","844","3","47","0","8,659"
"2017","February","4,963","185","179","1,390","434","2","47","0","7,200"
"2017","March","6,674","277","169","1,288","481","0","35","1","8,925"
"2017","April","5,925","103","129","813","263","2","38","0","7,273"
"2017","May","7,449","124","137","717","208","1","48","1","8,685"
"2017","June","7,639","99","171","701","207","1","36","2","8,856"
"2017","July","6,844","95","132","720","211","2","33","0","8,037"
"2017","August","7,045","118","119","786","251","6","39","0","8,364"
"2017","September","6,739","209","174","974","318","2","38","1","8,455"
"2017","October","6,542","326","238","1,667","568","7","37","0","9,385"
"2017","November","4,977","199","331","2,089","764","6","27","0","8,393"
"2017","December","7,158","313","382","2,641","922","2","51","3","11,472"
"2018","January","6,214","353","297","2,034","712","2","49","1","9,662"
"2018","February","5,543","206","217","1,493","453","2","35","0","7,949"
"2018","March","5,691","230","171","1,048","378","1","35","0","7,554"
"2018","April","5,900","192","116","765","245","4","29","0","7,251"
"2018","May","7,169","112","134","744","199","1","41","1","8,401"
"2018","June","7,190","110","130","645","193","0","35","0","8,303"
"2018","July","6,875","83","135","673","220","4","40","0","8,030"
"2018","August","6,722","111","124","823","272","0","32","0","8,084"
"2018","September","6,375","200","165","963","351","3","44","2","8,103"
"2018","October","6,300","305","262","1,557","553","9","53","1","9,040"
"2018","November","5,092","276","338","2,156","765","8","47","0","8,682"
"2018","December","4,228","211","309","2,383","795","4","38","0","7,968"
"2019","January","5,999","267","306","2,098","743","3","41","0","9,457"
"2019","February","5,349","233","252","1,597","548","1","32","0","8,012"
"2019","March","5,443","187","133","1,028","334","3","34","0","7,162"
"2019","April","5,459","145","132","762","219","1","43","0","6,761"
"2019","May","6,679","101","105","671","207","0","37","0","7,800"
"2019","June","6,901","110","109","659","176","2","43","0","8,000"
"2019","July","6,752","80","113","686","235","1","33","0","7,900"
"2019","August","6,695","99","130","808","254","3","42","0","8,031"
"2019","September","6,311","211","146","1,043","353","1","47","0","8,112"
"2019","October","6,384","298","217","1,583","600","0","44","0","9,126"
"2019","November","5,445","281","313","1,982","720","3","58","0","8,802"
"2019","December","4,493","219","257","2,181","822","5","48","0","8,025"
"2020","January","4,420","239","269","1,976","635","3","42","0","7,584"
"2020","February","5,450","214","255","1,562","536","1","38","0","8,056"
"2020","March","3,177","127","100","680","237","0","17","0","4,338"
"2020","April","2,043","30","64","334","111","2","20","0","2,604"
"2020","May","3,703","57","105","513","137","0","21","0","4,536"
"2020","June","5,553","59","130","654","174","0","31","0","6,601"
"2020","July","6,122","81","117","760","238","0","32","0","7,350"
"2020","August","6,004","93","116","884","253","1","45","0","7,396"
"2020","September","5,619","128","158","968","303","3","32","0","7,211"
"2020","October","5,117","162","189","1,361","453","3","36","0","7,321"
"2020","November","3,524","104","215","1,476","498","2","37","0","5,856"
"2020","December","3,430","121","225","1,780","619","2","34","0","6,211"
"Total Crash Count","","354,218","10,743","11,570","75,311","25,389","132","2,385","43","479,791"