"Crash Year","Crash Month","Dry","Wet","Ice","Snow","Mud, Dirt, Gravel","Slush","Debris","Water (standing/moving)","Sand","Oily","Other","Unknown","Uncoded & Errors","Total"
"2016","January","7,940","3,292","4,109","3,922","33","521","9","0","2","0","324","15","3","20,170"
"2016","February","8,243","2,191","2,954","3,701","44","870","13","0","0","0","240","15","6","18,277"
"2016","March","9,274","2,940","1,104","1,770","49","442","8","1","0","0","245","23","2","15,858"
"2016","April","9,921","2,351","1,231","644","79","357","11","3","1","0","147","29","1","14,775"
"2016","May","13,264","1,654","4","1","123","3","11","4","2","0","141","66","3","15,276"
"2016","June","14,280","949","2","0","138","0","9","5","5","0","138","78","2","15,606"
"2016","July","12,699","1,279","5","1","176","0","16","23","7","3","103","95","0","14,407"
"2016","August","12,188","1,748","4","2","147","0","9","26","4","3","103","111","1","14,346"
"2016","September","12,429","2,940","5","3","227","1","10","23","4","0","23","187","3","15,855"
"2016","October","15,162","3,226","11","14","235","30","8","17","3","1","19","236","91","19,053"
"2016","November","16,462","3,817","328","230","217","149","13","7","3","1","32","276","6","21,541"
"2016","December","8,033","3,668","3,591","5,639","70","887","7","7","2","1","41","254","0","22,200"
"2017","January","5,752","4,423","4,019","3,213","70","581","6","5","0","0","25","254","1","18,349"
"2017","February","8,798","2,111","1,181","920","87","184","8","11","1","2","13","195","2","13,513"
"2017","March","9,312","3,117","1,354","1,901","95","544","11","18","4","1","16","219","1","16,593"
"2017","April","10,116","2,568","93","72","182","116","4","18","4","2","10","183","3","13,371"
"2017","May","13,196","2,799","3","3","207","2","6","8","3","3","10","225","3","16,468"
"2017","June","14,578","1,484","3","2","209","0","10","38","5","4","19","229","3","16,584"
"2017","July","13,245","1,174","4","1","242","1","17","9","3","5","18","216","0","14,935"
"2017","August","12,315","2,043","1","0","229","2","9","12","5","2","7","207","1","14,833"
"2017","September","14,158","1,312","4","6","277","0","9","6","7","4","10","186","3","15,982"
"2017","October","15,273","5,867","40","37","285","40","8","32","6","5","8","286","1","21,888"
"2017","November","15,496","5,039","586","387","230","88","3","18","2","1","7","311","2","22,170"
"2017","December","8,254","2,887","5,010","9,062","106","888","17","4","1","1","15","281","5","26,531"
"2018","January","7,176","3,655","4,600","5,023","62","569","13","6","2","0","8","266","3","21,383"
"2018","February","6,686","3,030","2,050","5,352","64","512","6","37","0","2","18","224","4","17,985"
"2018","March","10,614","1,830","1,224","1,579","96","376","2","4","1","0","4","190","3","15,923"
"2018","April","10,159","2,234","1,550","640","137","410","5","8","5","5","6","191","5","15,355"
"2018","May","13,327","2,316","2","3","173","0","9","23","2","1","5","183","1","16,045"
"2018","June","14,513","1,736","4","3","196","2","8","27","8","1","9","225","2","16,734"
"2018","July","13,213","1,097","4","3","206","0","15","12","14","6","9","163","1","14,743"
"2018","August","12,322","1,895","1","1","208","0","10","14","10","6","6","178","2","14,653"
"2018","September","12,516","2,572","3","0","239","1","7","33","7","4","8","212","0","15,602"
"2018","October","15,766","5,160","21","14","244","24","7","20","6","2","6","345","4","21,619"
"2018","November","13,345","5,425","2,411","2,488","184","532","4","1","0","3","12","327","4","24,736"
"2018","December","11,085","4,108","2,071","1,118","119","150","9","10","2","4","9","307","1","18,993"
"2019","January","7,133","2,393","5,299","5,364","65","579","6","1","1","1","4","234","0","21,080"
"2019","February","5,866","3,001","3,909","4,007","48","593","7","3","1","1","13","256","2","17,707"
"2019","March","10,630","2,423","1,313","1,088","87","132","8","16","0","2","4","223","2","15,928"
"2019","April","10,395","2,635","336","301","119","418","2","11","4","2","2","181","0","14,406"
"2019","May","12,880","2,906","4","5","152","10","2","32","3","2","8","232","0","16,236"
"2019","June","14,018","2,595","5","3","204","0","4","27","6","4","4","236","0","17,106"
"2019","July","13,907","1,451","2","0","210","0","17","26","5","7","8","219","3","15,855"
"2019","August","13,716","1,099","2","1","220","1","6","11","6","3","11","195","0","15,271"
"2019","September","12,497","2,858","5","1","208","0","6","31","1","6","11","286","0","15,910"
"2019","October","15,672","5,990","30","50","242","35","7","29","5","3","12","369","0","22,444"
"2019","November","14,519","4,025","2,492","3,576","178","490","7","5","1","2","8","396","0","25,699"
"2019","December","12,038","3,070","1,598","1,991","112","346","3","8","0","5","8","367","0","19,546"
"2020","January","8,838","3,860","2,560","2,013","64","529","2","27","1","3","8","333","0","18,238"
"2020","February","8,638","1,829","2,249","4,319","47","514","1","2","0","0","8","283","0","17,890"
"2020","March","7,653","1,484","137","165","89","78","2","1","3","2","4","156","0","9,774"
"2020","April","4,468","1,060","270","82","110","27","0","10","2","1","5","109","0","6,144"
"2020","May","8,271","1,460","4","2","171","3","2","29","4","2","1","147","0","10,096"
"2020","June","12,739","822","3","3","247","0","12","22","4","3","5","217","0","14,077"
"2020","July","12,406","889","1","1","258","0","4","25","6","3","8","182","0","13,783"
"2020","August","11,479","1,282","1","4","254","0","5","35","6","1","8","168","0","13,243"
"2020","September","11,960","1,738","3","1","216","1","3","13","4","3","1","166","0","14,109"
"2020","October","14,766","3,474","59","38","286","36","1","12","5","3","2","273","0","18,955"
"2020","November","14,597","2,357","550","449","246","166","4","9","4","3","3","231","0","18,619"
"2020","December","8,822","2,283","1,478","2,135","107","391","2","4","0","1","3","214","0","15,440"
"Total Crash Count","","689,018","156,921","61,897","73,354","9,625","12,631","440","879","203","136","1,963","12,661","180","1,019,908"