"Crash Year","Crash Month","Total"
"2016","January","5"
"2016","February","7"
"2016","March","2"
"2016","April","10"
"2016","May","22"
"2016","June","24"
"2016","July","25"
"2016","August","41"
"2016","September","87"
"2016","October","82"
"2016","November","84"
"2016","December","100"
"2017","January","79"
"2017","February","103"
"2017","March","92"
"2017","April","131"
"2017","May","125"
"2017","June","145"
"2017","July","135"
"2017","August","150"
"2017","September","115"
"2017","October","154"
"2017","November","122"
"2017","December","159"
"2018","January","141"
"2018","February","103"
"2018","March","100"
"2018","April","118"
"2018","May","139"
"2018","June","139"
"2018","July","121"
"2018","August","104"
"2018","September","113"
"2018","October","154"
"2018","November","137"
"2018","December","132"
"2019","January","144"
"2019","February","117"
"2019","March","120"
"2019","April","134"
"2019","May","167"
"2019","June","168"
"2019","July","157"
"2019","August","185"
"2019","September","153"
"2019","October","184"
"2019","November","159"
"2019","December","176"
"2020","January","150"
"2020","February","178"
"2020","March","68"
"2020","April","26"
"2020","May","56"
"2020","June","108"
"2020","July","116"
"2020","August","121"
"2020","September","106"
"2020","October","153"
"2020","November","109"
"2020","December","109"
"Total Crash Count","","6,664"