"County","Non-Intersection Crash","Intersection Crash","Total"
"Alcona","2,863","138","3,001"
"Alger","1,228","233","1,461"
"Allegan","14,141","4,232","18,373"
"Alpena","3,089","848","3,937"
"Antrim","3,986","492","4,478"
"Arenac","3,347","314","3,661"
"Baraga","1,337","152","1,489"
"Barry","6,154","1,610","7,764"
"Bay","9,773","5,145","14,918"
"Benzie","2,496","407","2,903"
"Berrien","15,565","6,858","22,423"
"Branch","6,567","1,227","7,794"
"Calhoun","14,023","7,074","21,097"
"Cass","5,656","1,694","7,350"
"Charlevoix","4,636","912","5,548"
"Cheboygan","4,572","579","5,151"
"Chippewa","3,438","1,044","4,482"
"Clare","4,893","659","5,552"
"Clinton","9,644","1,828","11,472"
"Crawford","2,517","337","2,854"
"Delta","4,576","1,551","6,127"
"Dickinson","3,325","946","4,271"
"Eaton","11,899","4,125","16,024"
"Emmet","5,205","1,692","6,897"
"Genesee","30,321","21,196","51,517"
"Gladwin","3,235","362","3,597"
"Gogebic","833","332","1,165"
"Grand Traverse","10,176","7,293","17,469"
"Gratiot","6,894","1,206","8,100"
"Hillsdale","6,929","1,250","8,179"
"Houghton","2,806","1,528","4,334"
"Huron","6,874","684","7,558"
"Ingham","24,709","20,695","45,404"
"Ionia","7,030","1,589","8,619"
"Iosco","2,590","578","3,168"
"Iron","2,148","228","2,376"
"Isabella","9,688","3,553","13,241"
"Jackson","18,082","7,945","26,027"
"Kalamazoo","23,040","18,226","41,266"
"Kalkaska","2,158","591","2,749"
"Kent","63,722","43,627","107,349"
"Keweenaw","307","57","364"
"Lake","1,926","247","2,173"
"Lapeer","11,881","2,403","14,284"
"Leelanau","2,709","481","3,190"
"Lenawee","8,342","3,556","11,898"
"Livingston","16,930","6,211","23,141"
"Luce","678","143","821"
"Mackinac","2,543","184","2,727"
"Macomb","77,515","40,790","118,305"
"Manistee","4,089","668","4,757"
"Marquette","5,296","3,110","8,406"
"Mason","5,660","1,132","6,792"
"Mecosta","7,414","1,756","9,170"
"Menominee","1,423","561","1,984"
"Midland","9,264","3,783","13,047"
"Missaukee","2,901","289","3,190"
"Monroe","12,669","5,715","18,384"
"Montcalm","8,762","1,764","10,526"
"Montmorency","1,620","129","1,749"
"Muskegon","14,131","9,714","23,845"
"Newaygo","6,761","993","7,754"
"Oakland","132,249","59,718","191,967"
"Oceana","4,681","539","5,220"
"Ogemaw","3,453","507","3,960"
"Ontonagon","1,341","116","1,457"
"Osceola","5,251","475","5,726"
"Oscoda","1,211","122","1,333"
"Otsego","3,563","967","4,530"
"Ottawa","22,951","16,497","39,448"
"Presque Isle","2,771","237","3,008"
"Roscommon","3,273","536","3,809"
"Saginaw","15,957","11,044","27,001"
"St. Clair","13,802","4,553","18,355"
"St. Joseph","6,080","2,244","8,324"
"Sanilac","6,979","789","7,768"
"Schoolcraft","1,639","169","1,808"
"Shiawassee","8,414","1,897","10,311"
"Tuscola","7,367","1,383","8,750"
"Van Buren","9,212","2,209","11,421"
"Washtenaw","38,106","14,450","52,556"
"Wayne","158,005","101,203","259,208"
"Wexford","4,617","1,470","6,087"
"Total Crash Count","1,019,908","479,791","1,499,699"