"Crash Year","Crash Month","No Truck or Bus Involved","Truck or Bus Involved","Total"
"2016","January","19,382","788","20,170"
"2016","February","17,555","722","18,277"
"2016","March","15,220","638","15,858"
"2016","April","14,203","572","14,775"
"2016","May","14,670","606","15,276"
"2016","June","15,015","591","15,606"
"2016","July","13,870","537","14,407"
"2016","August","13,716","630","14,346"
"2016","September","15,168","687","15,855"
"2016","October","18,385","668","19,053"
"2016","November","20,852","689","21,541"
"2016","December","21,445","755","22,200"
"2017","January","17,561","788","18,349"
"2017","February","12,953","560","13,513"
"2017","March","15,832","761","16,593"
"2017","April","12,812","559","13,371"
"2017","May","15,687","781","16,468"
"2017","June","15,916","668","16,584"
"2017","July","14,365","570","14,935"
"2017","August","14,238","595","14,833"
"2017","September","15,319","663","15,982"
"2017","October","21,083","805","21,888"
"2017","November","21,456","714","22,170"
"2017","December","25,504","1,027","26,531"
"2018","January","20,217","1,166","21,383"
"2018","February","16,945","1,040","17,985"
"2018","March","15,154","769","15,923"
"2018","April","14,629","726","15,355"
"2018","May","15,305","740","16,045"
"2018","June","15,855","879","16,734"
"2018","July","14,073","670","14,743"
"2018","August","13,953","700","14,653"
"2018","September","14,827","775","15,602"
"2018","October","20,656","963","21,619"
"2018","November","23,793","943","24,736"
"2018","December","18,359","634","18,993"
"2019","January","19,867","1,213","21,080"
"2019","February","16,765","942","17,707"
"2019","March","15,216","712","15,928"
"2019","April","13,710","696","14,406"
"2019","May","15,415","821","16,236"
"2019","June","16,391","715","17,106"
"2019","July","15,004","851","15,855"
"2019","August","14,421","850","15,271"
"2019","September","15,092","818","15,910"
"2019","October","21,398","1,046","22,444"
"2019","November","24,589","1,110","25,699"
"2019","December","18,745","801","19,546"
"2020","January","17,422","816","18,238"
"2020","February","17,047","843","17,890"
"2020","March","9,328","446","9,774"
"2020","April","5,860","284","6,144"
"2020","May","9,696","400","10,096"
"2020","June","13,398","679","14,077"
"2020","July","13,062","721","13,783"
"2020","August","12,576","667","13,243"
"2020","September","13,384","725","14,109"
"2020","October","18,170","785","18,955"
"2020","November","17,916","703","18,619"
"2020","December","14,787","653","15,440"
"Total Crash Count","","975,232","44,676","1,019,908"