"Crash Year","Crash Month","No Truck or Bus Involved","Truck or Bus Involved","Total"
"2016","January","5","0","5"
"2016","February","7","0","7"
"2016","March","2","0","2"
"2016","April","10","0","10"
"2016","May","19","3","22"
"2016","June","22","2","24"
"2016","July","23","2","25"
"2016","August","40","1","41"
"2016","September","81","6","87"
"2016","October","78","4","82"
"2016","November","82","2","84"
"2016","December","95","5","100"
"2017","January","77","2","79"
"2017","February","94","9","103"
"2017","March","84","8","92"
"2017","April","123","8","131"
"2017","May","114","11","125"
"2017","June","135","10","145"
"2017","July","130","5","135"
"2017","August","140","10","150"
"2017","September","108","7","115"
"2017","October","144","10","154"
"2017","November","116","6","122"
"2017","December","148","11","159"
"2018","January","132","9","141"
"2018","February","98","5","103"
"2018","March","95","5","100"
"2018","April","108","10","118"
"2018","May","133","6","139"
"2018","June","129","10","139"
"2018","July","114","7","121"
"2018","August","98","6","104"
"2018","September","102","11","113"
"2018","October","149","5","154"
"2018","November","130","7","137"
"2018","December","127","5","132"
"2019","January","133","11","144"
"2019","February","105","12","117"
"2019","March","114","6","120"
"2019","April","124","10","134"
"2019","May","148","19","167"
"2019","June","155","13","168"
"2019","July","137","20","157"
"2019","August","172","13","185"
"2019","September","139","14","153"
"2019","October","173","11","184"
"2019","November","140","19","159"
"2019","December","162","14","176"
"2020","January","138","12","150"
"2020","February","162","16","178"
"2020","March","64","4","68"
"2020","April","22","4","26"
"2020","May","54","2","56"
"2020","June","105","3","108"
"2020","July","108","8","116"
"2020","August","112","9","121"
"2020","September","93","13","106"
"2020","October","139","14","153"
"2020","November","102","7","109"
"2020","December","105","4","109"
"Total Crash Count","","6,198","466","6,664"