"Crash Year","Crash Month","Clear","Cloudy","Fog","Rain","Snow","Severe Crosswinds","Sleet/Hail","Blowing Snow","Blowing Sand, Soil, Dirt","Unknown","Total"
"2016","January","1","2","0","1","1","0","0","0","0","0","5"
"2016","February","3","1","0","0","3","0","0","0","0","0","7"
"2016","March","1","1","0","0","0","0","0","0","0","0","2"
"2016","April","3","5","0","2","0","0","0","0","0","0","10"
"2016","May","16","4","0","2","0","0","0","0","0","0","22"
"2016","June","19","3","0","2","0","0","0","0","0","0","24"
"2016","July","20","3","0","2","0","0","0","0","0","0","25"
"2016","August","27","12","0","2","0","0","0","0","0","0","41"
"2016","September","61","13","1","11","0","0","0","0","0","1","87"
"2016","October","53","13","0","13","0","0","0","0","0","3","82"
"2016","November","54","19","0","10","1","0","0","0","0","0","84"
"2016","December","44","31","0","7","15","0","0","3","0","0","100"
"2017","January","24","21","4","13","13","0","1","2","0","1","79"
"2017","February","58","33","0","5","6","0","1","0","0","0","103"
"2017","March","56","19","1","4","10","2","0","0","0","0","92"
"2017","April","74","33","0","21","2","0","0","0","0","1","131"
"2017","May","87","20","2","14","0","0","0","0","1","1","125"
"2017","June","113","25","0","6","0","0","0","0","0","1","145"
"2017","July","103","20","0","9","0","0","0","0","0","3","135"
"2017","August","106","23","1","19","0","1","0","0","0","0","150"
"2017","September","85","20","3","4","0","0","0","0","0","3","115"
"2017","October","82","32","1","35","0","0","2","0","0","2","154"
"2017","November","55","40","0","22","5","0","0","0","0","0","122"
"2017","December","61","38","0","2","46","0","0","6","0","6","159"
"2018","January","76","39","1","5","18","0","0","1","0","1","141"
"2018","February","45","23","0","3","30","0","0","1","0","1","103"
"2018","March","56","22","0","4","18","0","0","0","0","0","100"
"2018","April","62","36","0","7","12","0","1","0","0","0","118"
"2018","May","106","23","0","10","0","0","0","0","0","0","139"
"2018","June","96","31","1","9","0","0","0","0","0","2","139"
"2018","July","97","18","1","3","0","0","0","0","0","2","121"
"2018","August","74","22","0","7","0","0","0","0","0","1","104"
"2018","September","69","32","1","10","0","0","0","0","0","1","113"
"2018","October","92","42","1","18","1","0","0","0","0","0","154"
"2018","November","48","47","0","15","22","0","0","1","0","4","137"
"2018","December","68","31","0","21","11","0","0","0","0","1","132"
"2019","January","66","32","0","11","32","0","0","2","0","1","144"
"2019","February","50","29","0","7","19","2","2","5","0","3","117"
"2019","March","68","34","0","10","7","0","0","0","0","1","120"
"2019","April","76","32","0","21","2","0","0","1","0","2","134"
"2019","May","89","58","0","17","0","0","0","0","0","3","167"
"2019","June","123","25","2","17","0","0","0","0","0","1","168"
"2019","July","114","32","0","9","0","0","0","0","0","2","157"
"2019","August","152","30","0","3","0","0","0","0","0","0","185"
"2019","September","92","43","1","14","0","1","0","0","0","2","153"
"2019","October","103","42","0","37","0","0","1","0","0","1","184"
"2019","November","60","52","1","20","24","0","0","2","0","0","159"
"2019","December","93","42","2","10","21","1","1","3","0","3","176"
"2020","January","63","50","1","10","18","0","2","3","0","3","150"
"2020","February","88","32","0","0","54","0","0","3","0","1","178"
"2020","March","42","22","0","2","2","0","0","0","0","0","68"
"2020","April","17","6","0","1","2","0","0","0","0","0","26"
"2020","May","39","11","0","6","0","0","0","0","0","0","56"
"2020","June","90","10","0","7","0","0","0","0","0","1","108"
"2020","July","99","15","0","2","0","0","0","0","0","0","116"
"2020","August","101","13","0","6","0","0","0","0","0","1","121"
"2020","September","82","15","0","8","0","0","0","0","0","1","106"
"2020","October","93","38","0","21","1","0","0","0","0","0","153"
"2020","November","79","18","0","8","4","0","0","0","0","0","109"
"2020","December","56","26","0","6","19","0","0","1","0","1","109"
"Total Crash Count","","4,030","1,504","25","571","419","7","11","34","1","62","6,664"